date,bloomberg_url
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z2A0DWLU6C01
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5ZBHET1UM0X01
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z3YZT0AFB401
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5Z794DWRGG001
2022-01-19,https://www.bloomberg.co.jp/news/articles/2022-01-19/R5XJZAT0AFB401
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DJHDT1UM0W01
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DN4ODWRGG201
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6E27RDWRGG001
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DYN8T0AFB501
2022-01-27,https://www.bloomberg.co.jp/news/articles/2022-01-27/R6DZLQDWLU6V01
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F2PFT0G1KW01
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F3NQT1UM0X01
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F4SFT1UM0Y01
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7DJI1T1UM0W01
2022-02-16,https://www.bloomberg.co.jp/news/articles/2022-02-16/R7F2CFT0AFB401
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8E8A9T1UM0W01
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8E9RTDWRGG001
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8DYWZT1UM0X01
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-07/R8E5RGDWX2PU01
2022-03-07,https://www.bloomberg.co.jp/news/articles/2022-03-06/R8CG9VDWLU6B01
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JOZCDWRGG401
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JVGOT1UM0W01
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JTVOT0G1KX01
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JTICDWRGG001
2022-03-10,https://www.bloomberg.co.jp/news/articles/2022-03-10/R8JO8NDWLU6S01
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WNODT0G1KW01
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WR66T1UM0W01
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WSTGT0G1KW01
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8V5PUT1UM1201
2022-03-17,https://www.bloomberg.co.jp/news/articles/2022-03-17/R8WTBQDWX2PX01
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA8YKZT0AFB701
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA907BT0G1KW01
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA8LDXDWRGG101
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA8LDMDWLU6H01
2022-04-12,https://www.bloomberg.co.jp/news/articles/2022-04-12/RA89DEDWLU6E01
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RA8BCXDWLU6901
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RAATCTT1UM0W01
2022-04-13,https://www.bloomberg.co.jp/news/articles/2022-04-13/RAASU5T0G1KW01
